,gsp_id,gsp_name,pes_id,region_id
1,1,ABHA1,22,1
2,2,ABNE_P,17,2
3,3,ABTH_1,21,3
4,4,ACTL_2|CBNK_H|GREE_H|PERI_H,20,4
5,5,ACTL_C|WISD_1|WISD_6,12,5
6,6,ALNE_P,17,6
7,7,ALST_3|USKM_1,21,7
8,8,ALVE1,22,8
9,9,AMEM_1,10,9
10,10,ARBR_P,17,10
11,11,ARDK_P|CLAC_P,17,11
12,12,ARMO_P,17,12
13,13,AXMI1,22,13
14,14,AYRR,18,14
15,15,BAGA,18,15
16,16,BAIN,18,16
17,17,BARKC1|BARKW3,12,17
18,18,BEAU_P|ORRI_P,17,18
19,19,BEDDT1,12,19
20,20,BEDD_1,19,20
21,21,BERB_P|CAIF_P|DALL_P|GLEF_P|KEIT_P,17,21
22,22,BERW,18,22
23,23,BESW_1,11,23
24,24,BICF_1,11,24
25,25,BIRK_1,13,25
26,26,BISW_1,14,26
27,27,BLYTB1,15,27
28,28,BLYTH132,16,28
29,29,BOAG_P,17,29
30,30,BOLN_1,19,30
31,31,BONN,18,31
32,32,BOTW_1,20,32
33,33,BRAC_P,17,33
34,34,BRAI_1,10,34
35,35,BRAP,18,35
36,36,BRAW_1,23,36
37,37,BRED_1,16,37
38,38,BRFO_1|CLT03,10,38
39,39,BRID_P,17,39
40,40,BRIM_1,10,40
41,41,BRLE_1|FLEE_1,20,41
42,42,BROA_P,17,42
43,43,BROR_P,17,43
44,44,BROX,18,44
45,45,BRWA1,22,45
46,46,BUMU_P,17,46
47,47,BURM_1,10,47
48,48,BUSH_1,14,48
49,49,BUST_1,14,49
50,50,CAAD_P,17,50
51,51,CAFA|EAST|GLLE|KEOO|TONG,18,51
52,52,CAMB_01,23,52
53,53,CANTN1|RICH_J|RICH1,19,53
54,54,CAPEA1,13,54
55,55,CARE_1,21,55
56,56,CARR_1,16,56
57,57,CASS_P,17,57
58,58,CATY,18,58
59,59,CEAN_P,17,59
60,60,CELL_1,14,60
61,61,CHAP,18,61
62,62,CHAR_P,17,62
63,63,CHAS,18,63
64,64,CHIC_1,20,64
65,65,CHSI_1,19,65
66,66,CHTE_1,11,66
67,67,CITR_1,12,67
68,68,CLAY_P,17,68
69,69,CLYM,18,69
70,70,COAT,18,70
71,71,COCK,18,71
72,72,CONQA1|SASA,13,72
73,73,COUA_P,17,73
74,74,COVE_1,11,74
75,75,COWL_1|ECLA_H,20,75
76,76,COYL,18,76
77,77,CRAI_P,17,77
78,78,CREB_1,23,78
79,79,CROO,18,79
80,80,CUMB,18,80
81,81,CUPA,18,81
82,82,CURR,18,82
83,83,DALM3,18,83
84,84,DEVM,18,84
85,85,DEVO,18,85
86,86,DEWP,18,86
87,87,DOUN_P,17,87
88,88,DRAK_1,11,88
89,89,DRAX_1,23,89
90,90,DRCR,18,90
91,91,DRUM,18,91
92,92,DUBE_P,17,92
93,93,DUDH_P,17,93
94,94,DUGR_P,17,94
95,95,DUMF,18,95
96,96,DUNB,18,96
97,97,DUNF,18,97
98,98,DUNO_P,17,98
99,99,DYCE_P,17,99
100,100,EALI_6,20,100
101,101,EASO_1,10,101
102,102,ECCL,18,102
103,103,ECLA_1,11,103
104,104,EERH,18,104
105,105,EKIL,18,105
106,106,EKIS,18,106
107,107,ELDE,18,107
108,108,ELGI_P,17,108
109,109,ELLA_1,23,109
110,110,ELST_1,10,110
111,111,ENDE_1,11,111
112,112,ERSK,18,112
113,113,EXET1,22,113
114,114,FASN_P,17,114
115,115,FAUG_P,17,115
116,116,FAWL_1,20,116
117,117,FECK_6,14,117
118,118,FERRA2,23,118
119,119,FERRB_M|FERRB1,23,119
120,120,FETT_P|KINT_P,17,120
